,heart,sleep,step
2018-08-5 4.5時,69.7,1.3,0.0
2018-08-5 4.75時,69.0,2.0,0.0
2018-08-5 5.0時,73.0,2.0,0.0
2018-08-5 5.25時,72.7,2.0,0.0
2018-08-5 5.5時,71.7,1.0,0.0
2018-08-5 5.75時,82.0,1.3,0.0
2018-08-5 6.0時,74.3,2.0,0.0
2018-08-5 6.25時,85.3,2.3,0.0
2018-08-5 6.5時,80.3,2.3,0.0
2018-08-5 6.75時,74.0,2.0,55.0
2018-08-5 7.0時,68.3,3.0,27.0
2018-08-5 9.75時,85.3,3.0,18.0
2018-08-5 10.0時,80.7,3.0,84.0
2018-08-5 23.0時,76.0,3.0,126.0
2018-08-5 23.5時,69.0,2.3,0.0
2018-08-5 23.75時,78.5,2.0,0.0
2018-08-6 0.0時,67.0,2.0,0.0
2018-08-6 0.25時,69.7,2.0,0.0
2018-08-6 0.5時,65.3,2.0,0.0
2018-08-6 0.75時,71.0,2.0,0.0
2018-08-6 1.0時,68.0,1.7,0.0
2018-08-6 1.25時,65.7,1.0,0.0
2018-08-6 1.5時,64.7,1.3,0.0
2018-08-6 1.75時,75.7,1.7,0.0
2018-08-6 2.0時,67.0,1.0,0.0
2018-08-6 2.25時,64.0,1.7,0.0
2018-08-6 2.5時,63.7,1.3,0.0
2018-08-6 2.75時,76.0,1.0,0.0
2018-08-6 3.0時,69.0,1.0,0.0
2018-08-6 3.25時,65.3,1.3,0.0
2018-08-6 3.5時,68.0,2.0,0.0
2018-08-6 3.75時,63.0,1.7,0.0
2018-08-6 4.0時,64.3,1.0,0.0
2018-08-6 4.25時,64.3,2.0,0.0
2018-08-6 4.5時,66.7,2.0,0.0
2018-08-6 4.75時,63.3,2.0,0.0
2018-08-6 5.0時,62.7,2.0,0.0
2018-08-6 5.25時,63.0,2.0,0.0
2018-08-6 5.5時,67.3,1.0,0.0
2018-08-6 5.75時,69.3,1.7,0.0
2018-08-6 6.0時,76.3,2.0,0.0
2018-08-6 6.25時,67.5,2.0,143.0
2018-08-6 6.75時,80.3,3.0,33.0
2018-08-6 7.0時,84.0,3.0,131.5
2018-08-6 7.5時,88.7,3.0,348.0
2018-08-6 7.75時,86.0,3.0,445.0
2018-08-6 8.0時,89.7,3.0,365.0
2018-08-6 9.75時,95.0,3.0,38.5
2018-08-6 10.5時,86.0,3.0,232.0
2018-08-6 11.75時,73.3,3.0,148.7
2018-08-6 22.0時,83.7,3.0,40.0
2018-08-6 22.25時,83.0,3.0,67.5
2018-08-6 22.5時,88.0,3.0,46.5
2018-08-6 23.0時,89.0,3.0,65.5
2018-08-6 23.5時,84.3,3.0,54.0
2018-08-7 0.25時,76.0,3.0,32.0
2018-08-7 0.5時,72.0,3.0,134.0
2018-08-7 0.75時,67.3,2.3,0.0
2018-08-7 1.0時,66.7,2.0,0.0
2018-08-7 1.25時,71.3,2.0,0.0
2018-08-7 1.5時,71.3,1.7,0.0
2018-08-7 1.75時,68.3,1.0,0.0
2018-08-7 2.0時,68.0,1.0,0.0
2018-08-7 2.25時,68.3,1.3,0.0
2018-08-7 2.5時,70.0,2.0,0.0
2018-08-7 2.75時,67.3,2.0,0.0
2018-08-7 3.0時,65.0,2.3,0.0
2018-08-7 3.25時,64.3,2.0,0.0
2018-08-7 3.5時,61.7,2.0,0.0
2018-08-7 3.75時,73.3,2.0,0.0
2018-08-7 4.0時,67.0,1.3,0.0
2018-08-7 4.25時,61.0,1.3,0.0
2018-08-7 4.5時,62.0,2.0,0.0
2018-08-7 4.75時,63.7,2.0,0.0
2018-08-7 5.0時,63.7,1.7,0.0
2018-08-7 5.25時,58.3,1.0,0.0
2018-08-7 5.5時,59.0,1.3,0.0
2018-08-7 5.75時,58.0,2.0,0.0
2018-08-7 6.0時,76.3,2.0,0.0
2018-08-7 6.25時,98.0,3.0,81.0
2018-08-7 6.5時,85.7,3.0,171.0
2018-08-7 7.0時,75.3,3.0,91.0
2018-08-7 7.25時,87.3,3.0,389.0
2018-08-7 7.5時,97.3,3.0,270.7
2018-08-7 7.75時,94.3,3.0,399.0
2018-08-7 8.0時,91.0,3.0,331.7
2018-08-7 8.25時,79.0,3.0,69.5
2018-08-7 8.75時,90.3,3.0,162.0
2018-08-7 9.0時,81.3,3.0,24.0
2018-08-7 9.5時,82.0,3.0,160.0
2018-08-7 21.5時,91.7,3.0,370.0
2018-08-7 21.75時,78.5,3.0,225.0
2018-08-7 22.25時,76.5,3.0,69.0
2018-08-7 22.5時,79.7,3.0,42.0
2018-08-7 22.75時,87.0,3.0,131.5
2018-08-7 23.0時,82.7,3.0,56.0
2018-08-7 23.25時,85.0,3.0,2.0
2018-08-8 0.25時,77.7,3.0,279.0
2018-08-8 0.5時,78.7,3.0,215.0
2018-08-8 0.75時,71.3,2.3,0.0
2018-08-8 1.0時,70.0,1.7,0.0
2018-08-8 1.25時,68.0,1.0,0.0
2018-08-8 1.5時,66.0,1.7,0.0
2018-08-8 1.75時,87.0,2.0,0.0
2018-08-8 2.0時,83.0,2.0,0.0
2018-08-8 2.25時,66.3,2.0,0.0
2018-08-8 2.5時,69.7,1.0,0.0
2018-08-8 2.75時,68.7,1.0,0.0
2018-08-8 3.0時,69.7,1.0,0.0
2018-08-8 3.25時,65.0,2.0,0.0
2018-08-8 3.5時,65.7,1.7,0.0
2018-08-8 3.75時,70.3,1.0,0.0
2018-08-8 4.0時,70.0,1.3,0.0
2018-08-8 4.25時,66.7,1.0,0.0
2018-08-8 4.5時,65.0,1.0,0.0
2018-08-8 4.75時,62.3,1.3,0.0
2018-08-8 5.0時,61.0,2.0,0.0
2018-08-8 5.25時,79.0,2.0,0.0
2018-08-8 5.5時,62.3,2.0,0.0
2018-08-8 5.75時,66.7,2.0,0.0
2018-08-8 6.0時,76.7,2.3,0.0
2018-08-8 6.25時,93.0,3.0,63.0
2018-08-8 6.5時,81.7,3.0,47.0
2018-08-8 6.75時,84.3,3.0,102.0
2018-08-8 7.0時,86.7,3.0,306.7
2018-08-8 7.5時,81.3,3.0,239.0
2018-08-8 7.75時,93.0,3.0,263.0
2018-08-8 8.0時,80.0,3.0,140.0
2018-08-8 21.5時,86.0,3.0,107.0
2018-08-8 21.75時,89.3,3.0,102.0
2018-08-9 1.25時,67.7,3.0,119.5
2018-08-9 1.5時,60.3,2.7,0.0
2018-08-9 1.75時,57.0,2.0,0.0
2018-08-9 2.0時,58.0,2.0,0.0
2018-08-9 2.25時,69.0,2.0,0.0
2018-08-9 2.5時,57.3,2.0,0.0
2018-08-9 2.75時,56.7,2.0,0.0
2018-08-9 3.0時,62.0,2.0,0.0
2018-08-9 3.25時,56.3,2.0,0.0
2018-08-9 3.5時,57.3,2.0,0.0
2018-08-9 3.75時,61.3,2.0,0.0
2018-08-9 4.0時,62.0,2.0,0.0
2018-08-9 4.25時,60.7,2.0,0.0
2018-08-9 4.5時,56.0,2.0,0.0
2018-08-9 4.75時,60.7,1.0,0.0
2018-08-9 5.0時,64.7,1.3,0.0
2018-08-9 5.25時,65.0,2.0,0.0
2018-08-9 5.5時,79.3,2.0,0.0
2018-08-9 5.75時,55.7,2.0,0.0
2018-08-9 6.0時,66.0,2.0,0.0
2018-08-9 6.25時,56.3,2.0,0.0
2018-08-9 6.5時,82.0,3.0,91.0
2018-08-9 6.75時,84.7,3.0,177.0
2018-08-9 7.0時,84.7,3.0,168.0
2018-08-9 7.25時,86.3,3.0,375.3
2018-08-9 7.5時,65.3,3.0,357.7
2018-08-9 7.75時,97.0,3.0,358.7
2018-08-9 8.0時,100.0,3.0,334.0
2018-08-9 21.5時,76.0,3.0,13.0
2018-08-9 22.25時,99.0,3.0,199.3
2018-08-9 22.5時,90.0,3.0,148.5
2018-08-9 23.0時,95.0,3.0,58.0
2018-08-9 23.25時,77.0,3.0,85.7
2018-08-9 23.75時,91.5,3.0,49.0
2018-08-10 0.75時,93.3,3.0,290.3
2018-08-10 1.0時,88.3,3.0,80.0
2018-08-10 1.25時,83.3,2.3,0.0
2018-08-10 1.5時,80.3,1.0,0.0
2018-08-10 1.75時,76.3,1.0,0.0
2018-08-10 2.0時,74.0,1.7,0.0
2018-08-10 2.25時,74.0,2.0,0.0
2018-08-10 2.5時,72.0,1.0,0.0
2018-08-10 2.75時,73.7,1.0,0.0
2018-08-10 3.0時,72.7,1.3,0.0
2018-08-10 3.25時,70.0,1.0,0.0
2018-08-10 3.5時,71.3,1.0,0.0
2018-08-10 3.75時,71.3,1.7,0.0
2018-08-10 4.0時,68.7,2.3,0.0
2018-08-10 4.25時,70.7,2.0,0.0
2018-08-10 4.5時,69.7,2.0,0.0
2018-08-10 4.75時,74.3,2.0,0.0
2018-08-10 5.0時,79.7,2.7,0.0
2018-08-10 5.25時,70.7,2.0,0.0
2018-08-10 5.5時,69.7,2.0,0.0
2018-08-10 5.75時,74.7,2.0,0.0
2018-08-10 6.0時,82.0,2.0,0.0
2018-08-10 6.25時,82.7,2.0,0.0
2018-08-10 6.5時,87.5,2.7,0.0
2018-08-10 6.75時,86.0,3.0,122.0
2018-08-10 7.0時,80.7,3.0,60.5
2018-08-10 7.25時,93.0,3.0,236.3
2018-08-10 7.5時,103.3,3.0,367.0
2018-08-10 7.75時,77.7,3.0,391.0
2018-08-10 8.0時,82.0,3.0,287.5
2018-08-10 21.5時,89.7,3.0,12.0
2018-08-10 22.0時,96.3,3.0,18.0
2018-08-10 22.75時,99.7,3.0,72.0
2018-08-10 23.0時,96.0,3.0,85.0
2018-08-10 23.25時,86.7,3.0,47.0
2018-08-11 1.0時,90.7,3.0,12.0
2018-08-11 1.5時,97.3,3.0,47.0
2018-08-11 2.0時,97.3,3.0,23.0
2018-08-11 2.5時,95.7,3.0,21.0
2018-08-11 3.25時,94.7,3.0,42.0
2018-08-11 4.0時,78.3,3.0,166.7
2018-08-11 4.25時,102.3,3.0,162.7
2018-08-11 4.5時,101.3,3.0,248.0
2018-08-11 4.75時,93.5,3.0,135.0
2018-08-11 5.0時,87.0,3.0,45.0
2018-08-11 5.25時,83.0,1.7,0.0
2018-08-11 5.5時,79.7,1.0,0.0
2018-08-11 5.75時,82.3,1.0,0.0
2018-08-11 6.0時,81.7,1.7,0.0
2018-08-11 6.25時,79.0,2.0,0.0
2018-08-11 6.5時,75.7,2.0,0.0
2018-08-11 6.75時,76.3,2.0,0.0
2018-08-11 7.0時,76.3,2.0,0.0
2018-08-11 7.25時,81.7,2.0,0.0
2018-08-11 7.5時,78.0,1.0,0.0
2018-08-11 7.75時,71.0,1.3,0.0
2018-08-11 8.0時,76.0,1.0,0.0
2018-08-11 8.25時,77.3,1.0,0.0
2018-08-11 8.5時,74.7,1.0,0.0
2018-08-11 8.75時,73.7,1.3,0.0
2018-08-11 9.0時,74.7,2.0,0.0
2018-08-11 9.25時,77.3,1.0,0.0
2018-08-11 9.5時,73.0,1.3,0.0
2018-08-11 9.75時,79.0,2.0,110.0
2018-08-11 21.75時,99.7,3.0,361.0
2018-08-11 22.0時,88.3,3.0,343.0
2018-08-11 22.25時,109.0,3.0,462.5
2018-08-11 22.5時,110.7,3.0,235.5
2018-08-11 22.75時,97.7,3.0,316.0
2018-08-11 23.0時,95.0,3.0,305.3
2018-08-11 23.25時,86.0,3.0,229.3
2018-08-11 23.5時,103.0,3.0,50.0
2018-08-12 0.25時,84.7,1.0,0.0
2018-08-12 0.5時,84.7,1.0,0.0
2018-08-12 0.75時,85.3,1.0,0.0
2018-08-12 1.0時,91.0,1.0,0.0
2018-08-12 1.25時,84.3,1.0,0.0
2018-08-12 1.5時,85.7,1.0,0.0
2018-08-12 1.75時,91.0,2.0,0.0
2018-08-12 2.0時,84.7,1.3,0.0
2018-08-12 2.25時,84.0,1.3,0.0
2018-08-12 2.5時,97.0,1.0,0.0
2018-08-12 2.75時,89.3,1.3,0.0
2018-08-12 3.0時,83.3,2.0,0.0
2018-08-12 3.25時,83.0,2.0,0.0
2018-08-12 3.5時,86.3,2.0,0.0
2018-08-12 3.75時,90.7,2.3,0.0
2018-08-12 4.0時,84.3,1.7,0.0
2018-08-12 4.25時,80.0,1.3,0.0
2018-08-12 4.5時,79.7,2.0,0.0
2018-08-12 4.75時,79.3,2.0,0.0
2018-08-12 5.0時,80.7,2.3,0.0
2018-08-12 5.25時,77.0,2.0,0.0
2018-08-12 5.5時,77.3,2.3,0.0
2018-08-12 5.75時,78.7,2.0,0.0
2018-08-12 6.0時,83.3,2.3,0.0
2018-08-12 6.25時,79.3,2.0,0.0
2018-08-12 6.5時,79.0,2.0,0.0
2018-08-12 6.75時,82.0,2.0,0.0
2018-08-12 7.0時,79.0,2.0,0.0
2018-08-12 7.25時,75.3,2.0,0.0
2018-08-12 7.5時,73.3,1.0,0.0
2018-08-12 7.75時,87.3,1.0,0.0
2018-08-12 8.0時,85.7,1.3,0.0
2018-08-12 8.25時,75.0,2.0,54.0
2018-08-12 9.5時,86.3,3.0,189.3
2018-08-12 9.75時,83.7,3.0,245.7
2018-08-12 10.0時,91.3,3.0,347.3
2018-08-12 10.25時,91.0,3.0,171.0
2018-08-12 21.5時,93.0,3.0,54.0
2018-08-12 21.75時,89.7,3.0,9.0
2018-08-12 22.0時,95.0,3.0,123.0
2018-08-12 22.25時,77.0,3.0,45.0
2018-08-12 22.75時,96.0,3.0,55.0
2018-08-12 23.0時,81.3,2.7,0.0
2018-08-12 23.25時,76.7,2.0,0.0
2018-08-12 23.5時,76.3,2.0,0.0
2018-08-12 23.75時,73.7,2.0,0.0
2018-08-13 0.0時,72.7,2.0,0.0
2018-08-13 0.25時,72.0,1.7,0.0
2018-08-13 0.5時,69.0,1.0,0.0
2018-08-13 0.75時,68.3,2.0,0.0
2018-08-13 1.0時,74.7,2.7,0.0
2018-08-13 1.25時,66.7,2.0,0.0
2018-08-13 1.5時,66.7,2.0,0.0
2018-08-13 1.75時,62.0,2.0,0.0
2018-08-13 2.0時,66.7,2.0,0.0
2018-08-13 2.25時,65.3,2.0,0.0
2018-08-13 2.5時,69.0,1.7,0.0
2018-08-13 2.75時,64.7,1.0,0.0
2018-08-13 3.0時,68.0,1.0,0.0
2018-08-13 3.25時,67.0,1.0,0.0
2018-08-13 3.5時,64.3,2.0,0.0
2018-08-13 3.75時,61.7,2.0,0.0
2018-08-13 4.0時,61.7,2.0,0.0
2018-08-13 4.25時,62.0,2.0,0.0
2018-08-13 4.5時,62.3,1.3,0.0
2018-08-13 4.75時,60.3,1.0,0.0
2018-08-13 5.0時,61.7,1.7,0.0
2018-08-13 5.25時,68.0,1.3,0.0
2018-08-13 5.5時,61.3,1.0,0.0
2018-08-13 5.75時,76.3,2.0,0.0
2018-08-13 6.0時,76.0,2.5,0.0
2018-08-13 6.75時,83.0,3.0,297.0
2018-08-13 7.0時,80.0,3.0,36.5
2018-08-13 7.25時,82.8,3.0,219.7
2018-08-13 7.5時,110.3,3.0,160.0
2018-08-13 7.75時,106.3,3.0,431.0
2018-08-13 8.0時,93.7,3.0,238.0
2018-08-13 8.25時,101.0,3.0,60.0
2018-08-13 8.5時,79.3,3.0,302.0
2018-08-13 21.75時,88.0,3.0,60.0
2018-08-13 22.0時,77.7,3.0,66.0
2018-08-13 22.25時,84.0,3.0,43.5
2018-08-13 22.75時,91.7,3.0,87.5
2018-08-13 23.0時,99.3,3.0,17.0
2018-08-13 23.25時,90.5,3.0,88.5
2018-08-13 23.5時,83.7,3.0,274.0
2018-08-14 0.0時,93.0,3.0,79.0
2018-08-14 0.25時,97.0,3.0,86.0
2018-08-14 1.25時,88.0,3.0,356.5
2018-08-14 1.5時,88.7,3.0,240.0
2018-08-14 1.75時,83.7,2.7,0.0
2018-08-14 2.0時,77.7,2.0,0.0
2018-08-14 2.25時,77.7,2.0,0.0
2018-08-14 2.5時,79.3,2.0,0.0
2018-08-14 2.75時,75.3,2.0,0.0
2018-08-14 3.0時,70.7,2.0,0.0
2018-08-14 3.25時,76.0,1.0,0.0
2018-08-14 3.5時,76.7,1.0,0.0
2018-08-14 3.75時,76.7,1.3,0.0
2018-08-14 4.0時,72.0,2.0,0.0
2018-08-14 4.25時,70.7,2.0,0.0
2018-08-14 4.5時,72.0,2.0,0.0
2018-08-14 4.75時,71.7,2.0,0.0
2018-08-14 5.0時,72.0,2.0,0.0
2018-08-14 5.25時,69.7,1.0,0.0
2018-08-14 5.5時,74.3,1.7,0.0
2018-08-14 5.75時,68.0,2.0,0.0
2018-08-14 6.0時,90.0,2.0,0.0
2018-08-14 6.25時,88.7,2.3,0.0
2018-08-14 7.25時,93.0,3.0,389.7
2018-08-14 7.5時,102.7,3.0,309.0
2018-08-14 7.75時,83.7,3.0,408.0
2018-08-14 8.0時,77.0,3.0,185.5
2018-08-14 21.5時,89.0,3.0,38.3
2018-08-14 22.25時,89.0,3.0,15.0
2018-08-14 22.75時,85.7,3.0,82.0
2018-08-14 23.5時,83.3,3.0,118.0
2018-08-14 23.75時,83.0,3.0,41.0
2018-08-15 0.0時,82.0,3.0,51.0
2018-08-15 0.5時,77.7,3.0,69.5
2018-08-15 0.75時,69.3,2.3,0.0
2018-08-15 1.0時,70.3,2.0,0.0
2018-08-15 1.25時,74.3,2.0,0.0
2018-08-15 1.5時,69.7,2.0,0.0
2018-08-15 1.75時,68.0,2.0,0.0
2018-08-15 2.0時,68.0,1.0,0.0
2018-08-15 2.25時,66.3,1.7,0.0
2018-08-15 2.5時,66.7,2.3,0.0
2018-08-15 2.75時,67.0,2.3,0.0
2018-08-15 3.0時,67.7,2.0,0.0
2018-08-15 3.25時,69.7,1.7,0.0
2018-08-15 3.5時,75.0,1.0,0.0
2018-08-15 3.75時,77.0,1.0,0.0
2018-08-15 4.0時,72.0,1.7,0.0
2018-08-15 4.25時,69.7,1.0,0.0
2018-08-15 4.5時,66.0,1.0,0.0
2018-08-15 4.75時,73.3,1.0,0.0
2018-08-15 5.0時,67.3,1.7,0.0
2018-08-15 5.25時,64.3,2.7,0.0
2018-08-15 5.5時,71.7,2.3,0.0
2018-08-15 5.75時,74.3,2.0,0.0
2018-08-15 6.25時,82.5,3.0,99.0
2018-08-15 6.75時,75.3,3.0,167.5
2018-08-15 7.0時,88.3,3.0,177.0
2018-08-15 7.25時,96.7,3.0,274.0
2018-08-15 7.5時,97.0,3.0,458.3
2018-08-15 7.75時,90.3,3.0,269.0
2018-08-15 8.75時,82.7,3.0,64.0
2018-08-15 9.0時,76.0,3.0,90.7
2018-08-15 21.5時,88.0,3.0,222.0
2018-08-15 22.25時,93.0,3.0,125.0
2018-08-15 22.5時,73.0,3.0,66.5
2018-08-15 22.75時,90.7,3.0,95.0
2018-08-15 23.0時,91.0,3.0,33.0
2018-08-15 23.25時,86.3,3.0,88.5
2018-08-15 23.5時,90.3,3.0,20.5
